Address,City,Price,Lot size (m2),Living space size (m2),Build year,Build type,House type,Roof,Total Rooms,Bedrooms,Floors,Total Floors,Basement(kelder),Attic(zolder),Loft(vliering),Energy label,Position,Garden,Estimated neighbourhood price per m2
Tadamastraat 21,Zutphen,425000,116,137,1883,Bestaande bouw,"Herenhuis, tussenwoning",Schilddak bedekt met pannen,5,3,"2 woonlagen, een zolder en een kelder",2,1,1,0,D,Aan water en in centrum,Achtertuin,245
Padweg 21,Oost-Souburg,249500,223,84,1955,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Plat dak bedekt met bitumineuze dakbedekking,4,3,2 woonlagen,2,0,0,0,B,In woonwijk en vrij uitzicht,Achtertuin en tuin,1265
Motet 10,Kampen,475000,269,183,1997,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Tentdak bedekt met pannen,7,6,3 woonlagen,3,0,0,0,A,In woonwijk,Achtertuin en tuin,311
Maaskade 89 A + B,Rotterdam,1050000,114,258,1885,Bestaande bouw,"Herenhuis, tussenwoning",Mansarde dak bedekt met pannen,10,7,5 woonlagen,5,0,0,0,D,"Aan vaarwater, aan water, in centrum, in woonwijk, open ligging en vrij uitzicht",Zonneterras,336
Kennemerstraatweg 257,Alkmaar,495000,216,105,1920,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,4,3,2 woonlagen,2,0,0,0,G,"Aan drukke weg, in bosrijke omgeving en in woonwijk",Achtertuin,1515
Torenstraat 6,Meliskerke,419000,671,134,1895,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5,4,2 woonlagen en een vliering,2,0,0,1,G,Beschutte ligging en in centrum,Tuin rondom,125
Mr Synco Reyndersplein 11,Appingedam,265000,228,110,1939,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Samengesteld dak bedekt met pannen,6,4,3 woonlagen,3,0,0,0,C,,Achtertuin en tuin,1877
Ladderbeekstraat 112,Velsen-Noord,375000,132,104,1935,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5,4,3 woonlagen en een vliering,3,0,0,1,C,Aan rustige weg en in woonwijk,Achtertuin,119
Platolaan 23,Assen,525000,844,177,1965,Bestaande bouw,"Bungalow, vrijstaande woning (semi-bungalow)",Zadeldak bedekt met pannen,5,4,2 woonlagen,2,0,0,0,D,"Aan bosrand, aan rustige weg, beschutte ligging en in bosrijke omgeving",Tuin rondom,330
Kerkpadsblok 16,Wijhe,525000,847,124,1938,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Mansarde dak bedekt met pannen,5,4,3 woonlagen,3,0,0,0,C,Aan rustige weg en in woonwijk,"Achtertuin, tuin en zijtuin",155
Breitnerstraat 90,Arnhem,650000,262,137,1934,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5,4,3 woonlagen en een kelder,3,1,0,0,C,"Aan rustige weg, in bosrijke omgeving en in woonwijk","Achtertuin, tuin en zijtuin",188
Emondsstraat 8,Waspik,475000,369,120,1973,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6,5,3 woonlagen,3,0,0,0,D,Aan rustige weg en in woonwijk,Achtertuin,3765
Papiermolen 43,Hoorn (NH),275000,119,109,1981,Bestaande bouw,"Eengezinswoning, eindwoning",Zadeldak bedekt met pannen,5,4,2 woonlagen en een zolder,2,0,1,0,C,Aan rustige weg en in woonwijk,Achtertuin en tuin,24
Groene Wetering 24,Gouderak,340000,116,113,1981,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak,5,4,3 woonlagen,3,0,0,0,B,In woonwijk,Achtertuin en tuin,26
Moreelsestraat 69,Ede,325000,120,94,1985,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5,4,3 woonlagen,3,0,0,0,B,Aan rustige weg en in woonwijk,Achtertuin en tuin,1825
Schaepmanlaan 4,Vlijmen,350000,551,129,1982,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,5,4,3 woonlagen,3,0,0,0,B,"Aan rustige weg, in bosrijke omgeving en in woonwijk",Achtertuin en tuin,6325
Dubbelspoor 23,Capelle aan den IJssel,365000,137,114,1984,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5,4,3 woonlagen,3,0,0,0,C,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en tuin,108
Jan van ssaustraat 25,Sneek,199500,110,84,1923,Bestaande bouw,"Eengezinswoning, hoekwoning",Dwarskap bedekt met pannen,5,2,2 woonlagen en een zolder,2,0,1,0,F,Aan rustige weg en in woonwijk,Achtertuin en tuin,277
